"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"03/01/2015 23:15 - 03/01/2015 23:30","BZN|NL","11741.63","10438.09"
"03/01/2015 23:30 - 03/01/2015 23:45","BZN|NL","11496.56","10195.62"
"03/01/2015 23:45 - 04/01/2015 00:00","BZN|NL","11268.73","9976.67"
"04/01/2015 00:00 - 04/01/2015 00:15","BZN|NL","11132.90","9836.76"
"04/01/2015 00:15 - 04/01/2015 00:30","BZN|NL","11090.79","9665.19"
"04/01/2015 00:30 - 04/01/2015 00:45","BZN|NL","11021.51","9460.01"
"04/01/2015 00:45 - 04/01/2015 01:00","BZN|NL","10886.43","9259.00"
"04/01/2015 01:00 - 04/01/2015 01:15","BZN|NL","10753.88","9070.65"
"04/01/2015 01:15 - 04/01/2015 01:30","BZN|NL","10593.70","8914.53"
"04/01/2015 01:30 - 04/01/2015 01:45","BZN|NL","10440.09","8753.07"
"04/01/2015 01:45 - 04/01/2015 02:00","BZN|NL","10261.07","8631.56"
"04/01/2015 02:00 - 04/01/2015 02:15","BZN|NL","10085.05","8536.46"
"04/01/2015 02:15 - 04/01/2015 02:30","BZN|NL","9992.35","8443.69"
"04/01/2015 02:30 - 04/01/2015 02:45","BZN|NL","9956.25","8366.29"
"04/01/2015 02:45 - 04/01/2015 03:00","BZN|NL","9819.68","8299.85"
"04/01/2015 03:00 - 04/01/2015 03:15","BZN|NL","9766.11","8264.97"
"04/01/2015 03:15 - 04/01/2015 03:30","BZN|NL","9774.05","8223.20"
"04/01/2015 03:30 - 04/01/2015 03:45","BZN|NL","9749.30","8185.04"
"04/01/2015 03:45 - 04/01/2015 04:00","BZN|NL","9748.21","8152.92"
"04/01/2015 04:00 - 04/01/2015 04:15","BZN|NL","9734.29","8161.13"
"04/01/2015 04:15 - 04/01/2015 04:30","BZN|NL","9705.63","8162.48"
"04/01/2015 04:30 - 04/01/2015 04:45","BZN|NL","9701.88","8170.14"
"04/01/2015 04:45 - 04/01/2015 05:00","BZN|NL","9718.02","8174.99"
"04/01/2015 05:00 - 04/01/2015 05:15","BZN|NL","9792.05","8208.01"
"04/01/2015 05:15 - 04/01/2015 05:30","BZN|NL","9849.74","8237.25"
"04/01/2015 05:30 - 04/01/2015 05:45","BZN|NL","9896.87","8275.33"
"04/01/2015 05:45 - 04/01/2015 06:00","BZN|NL","9921.30","8319.22"
"04/01/2015 06:00 - 04/01/2015 06:15","BZN|NL","9970.97","8415.32"
"04/01/2015 06:15 - 04/01/2015 06:30","BZN|NL","10060.83","8490.59"
"04/01/2015 06:30 - 04/01/2015 06:45","BZN|NL","10153.99","8571.85"
"04/01/2015 06:45 - 04/01/2015 07:00","BZN|NL","10289.47","8671.08"
"04/01/2015 07:00 - 04/01/2015 07:15","BZN|NL","10448.40","8826.47"
